product_code,product_name,modality_name,product_type,therapeutic_area,mechanism_of_action,short_description,dosage_form,route_of_administration,base_technology,current_phase
"BI 3822971","Not disclosed","Monoclonal Antibody","NBE (ntm)","Oncology","Bispecific antibody binding LY6K-HLA-A*02:01 on tumor cells and CD3ε on T cells to induce tumor-specific cytotoxicity; Fc engineered for half-life extension and reduced effector function.","Bispecific TcE for NSCLC inducing tumor-specific T‑cell cytotoxicity via LY6K‑HLA/CD3 engagement.","Injectable (IV; SC possible later)","IV; SC (possible later)",,"Preclinical"
"BI 3968621","Not disclosed","Small Molecule","NME","Oncology","PROTAC targeting HPK1 for proteasomal degradation via CRBN E3 ligase recruitment; enhances T/B/DC activation to boost anti-tumor immunity.","Oral PROTAC degrading HPK1 to boost immune activation for RCC; preclinical development.","Oral tablet","Oral",,"Preclinical"
,"Spesolimab","Monoclonal Antibody","NBE","Immunology; Neutrophilic Dermatoses","Humanized IgG1 monoclonal antibody antagonizing IL-36 receptor (IL-36R), blocking IL-36α, IL-36β, and IL-36γ signaling.","Anti-IL-36R monoclonal antibody for pyoderma gangrenosum; IV for flares, SC for prevention.","IV for acute flare; SC for long-term prevention","Injectable",,"Phase III"
"BI 3814916","Not yet assigned","Monoclonal Antibody","NBE","CRM; MASH","Monoclonal antibody inhibiting TLR4 to reduce hepatic/systemic inflammation in MASH.","Anti‑TLR4 monoclonal antibody to reduce hepatic and systemic inflammation in MASH; monthly SC dosing envisioned.","Injectable (likely SC monthly)","Injectable",,"Preclinical"
"BI 3819026","Anti-LAYN antibody","Monoclonal Antibody","NBE","Oncology","Humanized afucosylated IgG1 targeting LAYN isoforms 1 and 2 to deplete tumor-resident Tregs and enhance anti-tumor immunity.","Afucosylated anti‑LAYN IgG1 depletes tumor Tregs to enhance anti‑tumor immunity in solid tumors.","Injectable (IV; SC under evaluation)","Parenteral",,"Preclinical"
"BI 3821001","DcR3-Fc","Recombinant Proteins","NBE","Immunology; IBD","Engineered decoy receptor 3 fused to silenced IgG1 Fc to neutralize TL1A and LIGHT, reducing inflammation and tissue remodeling in IBD.","Fc‑fusion decoy receptor neutralizing TL1A and LIGHT for inflammation control in ulcerative colitis.","Injectable (SC or IV)","Injectable",,"Transitioning to Phase IIb"
done

product_code,product_name,modality_name,product_type,therapeutic_area,mechanism_of_action,short_description,dosage_form,route_of_administration,base_technology,current_phase
"BI 3814916","Not yet assigned","Monoclonal Antibody","NBE","CRM – MASH","Monoclonal antibody inhibiting TLR4 to reduce hepatic/systemic inflammation in MASH.","TLR4-inhibiting mAb for reducing inflammation in MASH","Injectable (likely SC monthly)",,,"Preclinical"
"BI 3819026","Anti-LAYN antibody","Monoclonal Antibody","NBE","Oncology (Solid Tumors)","Humanized afucosylated IgG1 targeting LAYN isoforms 1 and 2 to deplete tumor-resident Tregs and enhance anti-tumor immunity.","Afucosylated IgG1 mAb targeting LAYN to deplete Tregs in solid tumors","Injectable (IV; SC under evaluation)","Parenteral",,"Preclinical"
"BI 3812465",,"Recombinant Proteins","NBE","Ophthalmology (CI-DME)","Bispecific agonist targeting FZD4 and LRP5 to mimic Norrin and activate Wnt/β-catenin signaling, restoring BRB integrity.","Bispecific Wnt-pathway agonist for CI-DME to restore BRB integrity","Intravitreal injection","Intravitreal","SWAP™ technology","Preclinical"
