Match_Status;Product_ID;Product_Code;Product_Name;Modality;Classification;Product_Type;Therapeutic_Area;Current_Phase;Project_Status;Lead_Indication;Expected_Launch_Year;Timeline_Variance_Days;Launch_Geography;Commercial;Development_Approach;Development_Site;Launch_Site;Pharma_Form;Technology;Storage_Conditions;DS_Volume_Category;DP_Volume_Category;Route_Of_Administration;DS_Suppliers;DP_Suppliers;Device_Partners;Contact_Person;Strategic_Class;Strategic_Technology;Demand_Category;Peak_Demand_Range;Operational_Risks;Timeline_Risks;Supply_Chain_Risks;Mechanism_Of_Action;Short_Description;Patient_Population;Regulatory_Details;Submission_Status
NO_MATCH_export;Adalimumab;;;Monoclonal Antibody;Liquid;;;;;;;;;Make;INTERNAL;BI Biberach;BI Fremont;Sf_Injection;Sterile Filling;2 to 8°C;;;;;;;Vermani,Kavita (HP BioP NW) BIF-US-F;NBE;Device for s.c. injection;Very Low;<1 mio PCS;;;;;;;;
NO_MATCH_export;Adalimumab;;;Monoclonal Antibody;Liquid;;;;;;;;;Make;INTERNAL;BI Fremont;BI Fremont;Sf_Injection-HCLF;Sterile Filling;2 to 8°C;;;;;;;Vermani,Kavita (HP BioP NW) BIF-US-F;NBE;Device for s.c. injection;Low;1-10 mio PCS;;;;;;;;
MATCH;BI 1356225;BI 1356225;;Small Molecule;Solid;NME;Mental Health (Impulsivity in Substance Use Disorder);Phase I;On Track;Impulsivity/Substance Use Disorder (SuD) / Obesity;2034;0;;;tbd;(Blank);tbd;FC_Tablet;tbd;tbd;;;Oral;;;;May,Dr.,Sabine (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;GOAT (Ghrelin O-acyltransferase) inhibitor.;"Oraler GOAT-Inhibitor zur Reduktion von Impulsivität bei Opioid-Use-Disorder; Präzisionspsychiatrie-Ansatz.";;;
MATCH;BI 1584862;BI 1584862;Not disclosed;Small Molecule;Solid;NME;Eye Health;Phase II;On Track;Geographic Atrophy (GA);2032;0;;Make (strat);EACD;BI Kobe, JP;tbd;FC_Tablet;Roller Compaction;tbd;;;Oral;EACD (ongoing);EACD (ongoing);;Lehnen,Dr.,Dominika (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;PAFR (Platelet-Activating Factor Receptor) antagonist.;An oral PAFR antagonist for Geographic Atrophy (GA).;;;
MATCH;BI 1703880;BI 1703880;;Small Molecule;Liquid;NME;Oncology;Phase I;On Track;Non-Small Cell Lung Cancer (NSCLC);2032;0;;;CDMO;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);Low (10 - 1,000 kg);Very Low (< 1 million PCS);Injectable (SFInj);C(D)MO (ongoing);C(D)MO (ongoing);;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;NCE_liquid;Vial (Standard);Very Low;<1 mio PCS;;;;Systemic 'Second-Generation' STING agonist.;Systemic STING agonist in Phase I combination trial for a broad range of solid tumors.;;;
MATCH;BI 1815368;BI 1815368;;Small Molecule;Solid;NME;Eye Health (DME-Fokus in laufender Entwicklung);Phase II;On Track;Wet AMD prevention (nAMDp);2032;0;;Make (strat);CDMO;Almac;BI Ingelheim;FC_Tablet;tbd;tbd;;;Oral;ING @Ingelheim (ongoing);;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;PKK (Plasma Kallikrein) inhibitor.;Oraler PKK-Inhibitor zur Behandlung des diabetischen Makulaödems (DME).;;;
MATCH_LE;BI 1815368;BI 1815368_NAMD;Not disclosed;Small Molecule;Solid;;Ophthalmology;;;nAMD Prevention;2035;;;Make (strat);CDMO;Almac;BI Ingelheim;FC_Tablet;tbd;tbd;;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;Plasma Kallikrein (PKK) inhibitor - inhibits PKK to reduce vascular permeability and inflammation in retinal diseases.;Line extension of PKK inhibitor for prevention/adjunct treatment of neovascular age-related macular degeneration.;Patients at risk for or with early nAMD;;
MATCH;BI 1819479;BI 1819479;;Small Molecule;Solid;NME;"Respiratory; Immunology";Phase II;On Track;Idiopathic/Progressive Pulmonary Fibrosis (IPF/PPF);2031;0;;Buy;"INTERNAL;CDMO";Corden Pharma, Plankstadt;Corden Plankstadt;FC_Tablet;Fluid Bed Granulation;(Blank);Low (10 - 1,000 kg);Medium (10 - 100 million PCS);Oral;;Corden (ongoing);;Heblich,Dr.,Bettina (HP BioP L&I) BIP-DE-I;Solid;Solids non-standard;Medium;10-100 mio PCS;;;;Lysophospholipase inhibitor / Autotaxin (ATX) inhibitor.;An Autotaxin (ATX) inhibitor targeting the generation of lysophosphatidic acid (LPA) involved in fibrosis.;;;
MATCH;BI 1831169;BI 1831169;;Gene Therapy;Liquid;NBE;Oncology;Phase I;On Track;"Pancreatic Ductal Adenocarcinoma (PDAC); HNSCC; Melanoma";2034;0;;Buy;CDMO;Vibalogics;tbd;Sf_Injection;Sterile Filling;(Blank);High (> 30 12k runs);Very Low (< 1 million PCS);Intratumoral (i.t.) und Intravenös (i.v.);Lonza (ongoing);Lonza (ongoing);;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE_NTM;Vial (New Modalities);Very Low;(Blank);;;;VSV-GP OV (Vesicular Stomatitis Virus - Glycoprotein Oncolytic Virus).;An oncolytic virus gene therapy for solid tumors like PDAC, HNSCC, and Melanoma, administered intratumorally and intravenously.;;;
MATCH;BI 3000202;BI 3000202;;Small Molecule;Solid;NME;Immunology;Phase I;On Track;Systemic Sclerosis (SSc) / IFN (Interferonopathies);2032;0;;Make (strat);CDMO;Almac;BI Ingelheim;FC_Tablet;Fluid Bed Granulation;(Blank);;;Oral;C(D)MO (ongoing);C(D)MO (ongoing);;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;cGAS inhibitor.;"Oraler cGAS-Inhibitor für SSc und monogene Interferonopathien; potenziell krankheitsmodifizierend.";;;
